questions,lang
zugelassene Bewertung der Unterhaltungssoftware Selbstkontrolle in Deutschland,de
Gesamtzeit welche die Person im Weltraum verbracht hat (μ),de
AFDB ID,de
Abfluss,de
Abgeordnete,de
Abgeordneter,de
Abkürzung,de
Abspaltung von Partei,de
Absteiger,de
Abtei,de
Abteikirche weihe,de
Abteilung,de
Academy Award,de
Achterbahn,de
Adelsfamilie,de
Adliger,de
Adresse,de
Adresse in Straße,de
Agent,de
Agentur,de
Aktiva ($),de
Aktivität,de
Album,de
Album Länge (s),de
Allianz,de
Alter,de
Altersgruppe,de
Altstadt,de
Alumni,de
Amateurboxer,de
Amateurtitel,de
American Footballspieler,de
American-Football-Liga,de
American-Football-Team,de
American-Football-Trainer,de
Amphibie,de
Amt,de
Amtsarchiv,de
Amtsdauer,de
Amtsinhaber,de
Amtssprache,de
Amtszeit,de
Analogkanal,de
Analphabetismus,de
Anforderung,de
Angenommen Beschluß,de
"Angriff, Anschlag",de
Anmeldung,de
Anmerkung,de
Anmerkungen,de
Anschaffungszeitpunkt,de
Anteil der Zuschauer/Zuhörer,de
Anteil von Alkohol,de
Anwalt,de
Anwaltskanzlei,de
Anzahl,de
Anzahl Betten,de
Anzahl Büros,de
Anzahl Rechtsanwälte,de
Anzahl Sprecher,de
Anzahl der Alben,de
Anzahl der Bahnen,de
Anzahl der Bezirke,de
Anzahl der Bomben,de
Anzahl der Bundesabgeordneten,de
Anzahl der Bögen,de
Anzahl der Clubs,de
Anzahl der Doktoranden,de
Anzahl der Dörfer,de
Anzahl der Eingänge,de
Anzahl der Elemente in der Sammlung,de
Anzahl der Enthaltungen nach der Abstimmung,de
Anzahl der Episoden,de
Anzahl der Fahrstreifen,de
Anzahl der Fahrzeuge,de
Anzahl der Filme,de
Anzahl der Freiwilligen,de
Anzahl der Gemeinden,de
Anzahl der Gleise,de
Anzahl der Goldmedaillen,de
Anzahl der Gräber,de
Anzahl der Inseln,de
Anzahl der Landkreise,de
Anzahl der Linien,de
Anzahl der Mitarbeiter,de
Anzahl der Mitglieder,de
Anzahl der Parkplätze,de
Anzahl der Pfeiler in Wasser,de
Anzahl der Raketen,de
Anzahl der Reaktoren,de
Anzahl der Restaurants,de
Anzahl der Runden,de
Anzahl der Seiten,de
Anzahl der Silbermedaillen,de
Anzahl der Sitze,de
Anzahl der Sitze im Parlament,de
Anzahl der Spieler,de
Anzahl der Sportveranstaltungen,de
Anzahl der Staffeln,de
Anzahl der Standorte,de
Anzahl der Stationen,de
Anzahl der Sterne,de
Anzahl der Stimmen für Kandidaten,de
Anzahl der Stimmen für die Resolution,de
Anzahl der Teams,de
Anzahl der Wettbewerber,de
Anzahl der Zimmer,de
Anzahl der erzielten Tore,de
Anzahl der gewonnenen Bronzemedaillen,de
Anzahl der teilnehmenden Athleten,de
Anzahl der teilnehmenden Nationen,de
Anzahl der teilnehmenden männlichen Athleten,de
Anzahl der vorhandenen Häuser,de
Anzahl der wissenschaftlichen Mitarbeiter,de
Anzahl gebaut,de
Anzahl von Fachleuten,de
Anzahl von Live-Alben,de
Anzahl von Raketenstufen,de
Anzahl von Starts,de
Anzahl von Weinbergen,de
Apoapsisdistanz (km),de
Apoapsisdistanz (μ),de
Arbeit,de
Arbeitgeber,de
Arbeitgeberverbände,de
Arbeitseinheit,de
Arbeitsplätze (m2),de
Archaeen,de
Archipel,de
Architekt,de
Architekturbewegung,de
Architekturbüro,de
Archiv,de
Archäologe,de
Aristokrat,de
Armee,de
Art der Elektrifizierung,de
Art der Gemeinde,de
Art der Lagerung,de
Art von Gestein,de
Arterie,de
Artikle,de
Asteroid,de
Astronaut,de
Athlet,de
Atoll,de
Aufgegangen in Partei,de
Auflösung,de
Aufsichtsperson,de
Aufstand,de
Aufstieg,de
Auftragnehmer,de
Aufzüge,de
Augen,de
Augenfarbe,de
Ausbildung,de
Ausbruch,de
Ausführender Produzent,de
Ausgangsleistung (W),de
Ausgangsleistung (kW),de
Ausrüstung,de
Ausschuss,de
Ausschuss in der Legislative,de
Aussprache,de
Australian Football League,de
Australian Football Team,de
Australian Rules Football-Spieler,de
Auswahl,de
Auswahljahr,de
Auszeichnung,de
Auto Racing League,de
Automobil,de
Automobilmodell,de
Automobilplattform,de
Autonomie,de
Autor des Vorworts,de
B-Seite,de
BAFTA Award,de
Bach,de
Backround-Chor,de
Badmintonspieler,de
Bahnen,de
Bahnhof,de
Bahnneigung,de
Bahnsteige,de
Ballungsgebiet,de
Ballungsraum,de
Band (Anatomie),de
Bandmitglied,de
Bank,de
Baronet,de
Baseball-Liga,de
Baseballmannschaft,de
Baseballsaison,de
Baseballspieler,de
Basketball-Liga,de
Basketballmannschaft,de
Basketballspieler,de
Bauer,de
Baujahr,de
Baum,de
Baumaterial,de
Baumeister,de
Baureihe,de
Bauwerk,de
Bauzeit,de
Beachvolleyballspieler,de
Bearbeitung,de
Bedeutung,de
Befehl,de
Befehlshaber,de
Beginn Weltraumspaziergang,de
Behörde,de
Belastungsgrenze (g),de
Benachrichtigungsdatum,de
Bereich,de
Berg,de
Bergkette,de
Bergpass,de
