questions,lang
Ancienne province,fr
Ancienne région,fr
Avocat,fr
Base de données,fr
Base de données,fr
Base de données biologiques,fr
Base de données biologiques,fr
Blason,fr
Capitale,fr
Capitale,fr
Capitale régionale,fr
Château d'eau,fr
Château d'eau,fr
DCI,fr
DCI,fr
Dramaturge,fr
Dramaturge,fr
Désert,fr
Désert,fr
Embranchement phylogénétique,fr
Employeur,fr
FC,fr
FC,fr
Hymne national,fr
Hymne national,fr
ID Allocine,fr
Inconnu,fr
Inconnu,fr
Jeux Olympiques,fr
Moulin,fr
Moulin,fr
Moulin à eau,fr
Océan,fr
Océan,fr
Orgue,fr
Orgue,fr
Port,fr
Port,fr
Prix Nobel,fr
Prix Nobel,fr
Producteur,fr
PubChem,fr
PubChem,fr
Pyramide,fr
Pyramide,fr
Tournoi de la Women's Tennis Association,fr
a influencé,fr
a un lieu extérieur,fr
a un lieu intérieur,fr
abbaye,fr
abréviation,fr
acteur,fr
acteur,fr
acteur de doublage,fr
acteur porno/acteur adulte,fr
activité,fr
activité,fr
activité de route,fr
adresse,fr
agence gouvernementale,fr
agent,fr
agglomération,fr
aire protégée,fr
album,fr
algue verte,fr
alias,fr
allumeur,fr
altitude,fr
altitude,fr
altitude (μ),fr
ambassadeur,fr
american football league,fr
amphibien,fr
ancien département,fr
ancien pays,fr
ancien ville ou village,fr
ancienne chaîne de télévision généraliste,fr
angiospermes,fr
animal,fr
animal,fr
animateur de télévision,fr
année,fr
année,fr
année d'obtention du titre de champion du monde,fr
année de recensement,fr
année de vols spatiaux,fr
appareil,fr
appareil photo numérique,fr
appareil photographique,fr
arachnides,fr
arbitre,fr
archipel,fr
architecte,fr
architecte,fr
archées,fr
archéologue,fr
aristocrate,fr
arme,fr
arrondissement,fr
arrondissement,fr
arrondissement,fr
arrêt précédent,fr
arrêt suivant,fr
article,fr
artiste,fr
artiste de musique classique,fr
artère,fr
assassin,fr
astronaute,fr
astéroïde,fr
athlète,fr
athlétisme,fr
atoll,fr
"attaque, attentat",fr
australian football league,fr
auteur,fr
auteur-compositeur,fr
automobile,fr
avion,fr
avion militaire,fr
aéroport,fr
bactérie,fr
baie,fr
bande dessinée,fr
banque,fr
barrage,fr
bibliothèque,fr
biomolécule,fr
bière,fr
blason,fr
boisson,fr
boxeur,fr
boxeur amateur,fr
brasserie,fr
bâtiment,fr
bâtiment historique,fr
canadian football league,fr
canal,fr
canton,fr
canton,fr
capacité,fr
capitale,fr
carburant,fr
cardinal,fr
carte,fr
cas juridique,fr
cas juridique de la Cour suprême des États-Unis,fr
casino,fr
casus,fr
catégorie,fr
cavalier,fr
centrale nucléaire,fr
centrale électrique,fr
centre commercial,fr
certification,fr
cerveau,fr
champion,fr
champion du monde actuel,fr
champion en double,fr
champion en double femmes,fr
champion en double hommes,fr
champion en double mixte,fr
champion en simple,fr
champion en simple femmes,fr
champion en simple homme,fr
chancelier,fr
chanson,fr
chanteur,fr
chat,fr
chaîne de montagne,fr
chaîne de télévision généraliste,fr
chaîne de télévision généraliste,fr
chaînes de télévision,fr
