questions,lang
(foto)model,nl
"datum aangenomen door Tweede Kamer, Lagerhuis, Bondsdag enz.",nl
percentage van de mannelijke bevolking dat geletterd is,nl
Aanduiding beschrijvend document,nl
Aangenomen Besluit,nl
Aantal doden,nl
Aantal gemeenten,nl
Aantal kantons,nl
Aantal onthoudingen,nl
Aantal stemmen tegen,nl
Aantal stemmen voor,nl
Aantekening,nl
Aggregatie,nl
American footballspeler,nl
Amerikaans football team,nl
Amerikaanse football coach,nl
Amerikaanse voetbal competitie,nl
Amsterdamse code,nl
Archaea (oerbacteriën),nl
Archief,nl
Archiefinstelling,nl
Australian football team,nl
Australian football-speler,nl
Biatleet,nl
Biomolecuul,nl
Britse royalty,nl
CV,nl
Canadees footballteam,nl
Canadese football speler,nl
Carrierestap,nl
Christelijk bisschop,nl
Christelijke leer,nl
Code Erelijst van Gevallenen,nl
Code Nationaal Archief,nl
DBNL code NL,nl
DTM-coureur,nl
Disneyfiguur,nl
Elektriciteitscentrale,nl
Europees lidmaatschap,nl
Eurovisie Songfestival act,nl
Filosofisch thema,nl
Formule 1-r‎ace,nl
Ginkgo biloba,nl
Gnetales,nl
Hofje / gebouw met woongemeenschap,nl
ICD1,nl
ICD10,nl
ICD9,nl
ICDO,nl
IMDB id,nl
INSEE-code,nl
ISBN,nl
ISO 639-1 code,nl
ISO 639-2 code,nl
ISO 639-3 code,nl
ISO regiocode,nl
ISSN,nl
IUCN categorie,nl
IUPAC internationale chemische identifier,nl
Indexcode,nl
MeSH ID,nl
MedlinePlus,nl
Molen,nl
NCAA team seizoen,nl
NUTS-code:,nl
National Collegiate Athletic Association atleet,nl
Nobelprijs,nl
OMIM id,nl
Olympisch evenement,nl
Olympische Spelen,nl
Onbekend,nl
Rol van een persoon in een gebeurtenis,nl
Romeinse keizer,nl
Roosmolen,nl
Rosmolen,nl
SIL-code,nl
Sluitingsjaar,nl
VIAF code,nl
Verwijzing,nl
WTA-toernooi,nl
Watermolen,nl
Watertoren,nl
Windmolen,nl
WoRMS,nl
Zwemslag,nl
aangrenzende gemeente,nl
aannemer,nl
aantal bedden,nl
aantal bemanningsleden,nl
aantal eilanden,nl
aantal gewonnen bronzen medailles,nl
aantal gewonnen gouden medailles,nl
aantal gewonnen zilveren medailles,nl
aantal graven,nl
aantal huizen aanwezig,nl
aantal ingangen,nl
aantal kamers,nl
aantal medewerkers,nl
aantal pagina's,nl
aantal parkeerplaatsen personenauto's,nl
aantal parkeerplaatsen vrachtwagens,nl
aantal plaatsen,nl
aantal reactoren,nl
aantal sprekers,nl
aantal titels/items,nl
aantal zetels in parlement,nl
"aanval, aanslag",nl
aardbeving,nl
abdij,nl
academische hoofdstudierichting,nl
achtbaan,nl
achtergrond koor,nl
achternaam,nl
acteur,nl
actieve jaren eind jaar,nl
actieve jaren einddatum,nl
actieve jaren start jaar,nl
actieve jaren startdatum,nl
activiteit,nl
adelijk geslacht,nl
ader,nl
administratieve gemeenschap,nl
adres,nl
advocaat,nl
advocaat-generaal,nl
advocatenkantoor,nl
afbeelding,nl
afbeeldingsgrootte (px),nl
afdeling,nl
afgelegde afstand (km),nl
afgelegde afstand (μ),nl
afkorting,nl
agent,nl
agglomeratie,nl
album,nl
alcoholpercentage,nl
alias,nl
alternatieve titel,nl
amateur boxer,nl
ambassadeur,nl
ambtsdrager,nl
ambtstermijn,nl
amfibie,nl
anatomische structuur,nl
andere verbindingen,nl
ani-manga figuur,nl
anime,nl
apofocus,nl
apparaat,nl
archeoloog,nl
archipel,nl
architect,nl
aristocraat,nl
arrondissement,nl
artiest,nl
artiest discografie,nl
artiest klassieke muziek,nl
artikel,nl
asteroïde,nl
atleet,nl
atletiek,nl
atol,nl
atoomnummer,nl
australian football competitie,nl
auteur,nl
auto race competitie,nl
automobiel,nl
automotor,nl
autoriteit,nl
baai,nl
bacterie,nl
badmintonspeler,nl
band,nl
bandlid,nl
bank,nl
baronet,nl
basketbal competitie,nl
basketbal speler,nl
basketbalteam,nl
beachvolleybal speler,nl
bebouwde omgeving,nl
bedektzadigen,nl
bedrijf,nl
beeldhouwer,nl
beeldhouwwerk,nl
beest,nl
begraafplaats,nl
bekend om,nl
bekende werken,nl
bekwaamheden,nl
belasting,nl
bereik,nl
berg,nl
bergketen,nl
bergpas,nl
beroemdheid,nl
beroep,nl
beschermd gebied,nl
beschrijving gebeurtenis,nl
bestand,nl
bestandsnaam,nl
besturingssysteem,nl
bestuur,nl
bestuurlijk gebied,nl
bestuursorgaan,nl
beurs waaraan genoteerd,nl
beurscode,nl
bevolking,nl
bevolking vanaf,nl
bevolkingsdichtheid (/sqkm),nl
bewegend beeld,nl
beweging,nl
bezoekers per jaar,nl
bezoekersaantal,nl
beïnvloed door,nl
bibliotheek,nl
bier,nl
biljarter,nl
bindweefsel,nl
biologische databank,nl
bioloog,nl
bisdom,nl
blazoen (wapenschild),nl
bloedgroep,nl
bloedvat,nl
bobsleeër,nl
bodybuilder,nl
boek,nl
boer,nl
boksen,nl
bokser,nl
boksstijl,nl
boogschutter,nl
bordspel,nl
bos,nl
bot,nl
bouw eindjaar,nl
bouw start jaar,nl
bouwer,nl
bouwjaar,nl
bouwmateriaal,nl
bouwmethode,nl
bouwsel,nl
bouwstijl,nl
bovenorde,nl
bovenstam,nl
bowling competitie,nl
box competitie,nl
box gewichtsklasse,nl
brandstof,nl
brandstofverbruik,nl
breedte (mm),nl
breedte (μ),nl
broer of zus,nl
brons op de Olympische Spelen,nl
bronzen medaille drager,nl
brouwerij,nl
brug,nl
bruine dwerg,nl
bruto nationaal product,nl
bruto nationaal product per hoofd van de bevolking,nl
budget ($),nl
buitenplaats,nl
burgemeester,nl
burgerschap,nl
busmaatschappij,nl
cabaretgroep,nl
camera,nl
canadian football competitie,nl
carrièrestap,nl
casino,nl
categorie,nl
certificaat van herkomst voor kwaliteitswijnen,nl
chef-kok,nl
chemisch component,nl
chemisch element,nl
chemische substantie,nl
choreograaf,nl
christelijk patriarch,nl
chromosoom nummer,nl
cijfer,nl
cinematografie,nl
citaat,nl
club,nl
coach,nl
code,nl
code RKD,nl
code gedenkteken,nl
college,nl
commandant,nl
competitie,nl
componist,nl
compositie klassieke muziek,nl
concentratiekamp,nl
configuratie,nl
congres,nl
congressist,nl
conifeer,nl
conservator,nl
continent,nl
coureur,nl
cover artist,nl
coördinaten,nl
cricket competitie,nl
cricketspeler,nl
cricketteam,nl
cricketveld,nl
crimineel,nl
cultusgebouw,nl
curling competitie,nl
curlingspeler,nl
cycadeeën,nl
dam,nl
danser,nl
darter,nl
database,nl
datum,nl
datum begrafenis,nl
datum bevrijding,nl
datum certificatie,nl
datum en tijd van begin,nl
datum en tijd van einde,nl
datum laatste bewerking,nl
datum onthulling,nl
datum van oplevering,nl
datum vaststellen ledental,nl
datum waarop het eiland is ontdekt,nl
decaan,nl
deelgemeente,nl
deelnemer,nl
delen,nl
demografie,nl
departement,nl
departementcode,nl
diameter (km),nl
diameter (mm),nl
diameter (μ),nl
dichter,nl
dichtstbijzijnde stad,nl
dienstplafond,nl
diepte,nl
diepte (μ),nl
dier,nl
dierentuin,nl
digitale camera,nl
dijk,nl
diploma,nl
dirigent,nl
diseasesDb,nl
district,nl
dochterorganisatie,nl
doctoraalstudent,nl
document,nl
documentnummer,nl
documenttype,nl
dodelijk voor kippen,nl
dodelijk voor konijnen,nl
dodelijk voor muizen,nl
dodelijk voor ratten,nl
doel,nl
doelpunten in de competitie,nl
domein,nl
dood,nl
doodsoorzaak,nl
doopdatum,nl
dorp,nl
drama,nl
drank,nl
droge last (g),nl
droge last (kg),nl
druif,nl
duur (m),nl
duur (s),nl
dynastie,nl
eMedicine onderwerp,nl
eMedicine topic,nl
echtgenoot,nl
econoom,nl
edele,nl
eerbetoon,nl
eerbewijzen,nl
eerste minister,nl
eerste publicatiedatum,nl
egyptoloog,nl
eigenaar,nl
eiland,nl
einddatum,nl
embryologie,nl
entomoloog,nl
enzym,nl
etnische groep,nl
eukaryoot,nl
exploitant,nl
fabriek,nl
familie,nl
familielid,nl
fauna,nl
feestdag,nl
film,nl
filmfestival,nl
