questions,lang
categoria do indice de desenvolvimento humano (IDH),pt
Banco de dados,pt
Banco de dados,pt
Banco de dados biológico,pt
Planeta,pt
Planeta,pt
abadia,pt
aeroporto,pt
afiliacao europeia,pt
afiliacao internacional,pt
afiliacao nacional,pt
ala jovem,pt
altitude (μ),pt
altura (cm),pt
altura (mm),pt
altura (mm),pt
altura (mm),pt
altura (mm),pt
altura (mm),pt
altura (mm),pt
altura (mm),pt
altura (μ),pt
analfabetismo,pt
anfíbio,pt
animal,pt
ano,pt
aracnídeos,pt
arena,pt
arquipélago,pt
artista musical,pt
asteróide,pt
astronauta,pt
atividade,pt
ator,pt
ator adulto,pt
automovel,pt
banco,pt
banda,pt
baía,pt
boxeador,pt
cadeia montanhosa,pt
campeonato de futebol,pt
canal,pt
capital,pt
cardeal,pt
caso jurídico,pt
categoria do coeficiente de Gini,pt
caverna,pt
chanceler,pt
cicadácea,pt
ciclista,pt
cidade,pt
clima,pt
coeficiente de Gini,pt
coeficiente de Gini em,pt
comediante,pt
comida,pt
composto químico,pt
cor,pt
cor da pele,pt
cor do cabelo,pt
cor dos olhos,pt
cratera,pt
cratera lunar,pt
criminoso,pt
critério,pt
curso d’água,pt
código FDA UNII,pt
código no afdb,pt
código no bgafd,pt
código no egafd,pt
código no eurobabeindex,pt
código no iafd,pt
código postal,pt
data de entrada na uniao europeia,pt
data do casamento dos pais,pt
data do titulo,pt
densidade (μ3),pt
densidade (μ3),pt
densidade (μ3),pt
densidade (μ3),pt
descobridor,pt
deserto,pt
desfiladeiro,pt
dispositivo,pt
distrito,pt
distância até a capital (μ),pt
domínio de topo (tld),pt
em perigo desde,pt
empresa,pt
escola,pt
escola de samba,pt
esporte,pt
estação,pt
evento,pt
evento,pt
evento anterior,pt
evento esportivo,pt
expectativa de vida,pt
extensão d’água,pt
faculdade,pt
figura,pt
fonte termal,pt
fuso horario,pt
galáxia,pt
geleira,pt
gene,pt
ginkgo,pt
grupo parlamentar europeu,pt
género musical,pt
habilidade com a mao,pt
habilidade com o pé,pt
hino,pt
hospital,pt
ideologia,pt
ideologia,pt
igreja,pt
ilha,pt
indicadores demograficos em,pt
indicativo de chamada,pt
jogador de badminton,pt
jogador de basebol,pt
jogador de futebol canadense,pt
jogador de tennis,pt
jogo,pt
lago,pt
legenda,pt
lema,pt
lider,pt
liga de futebol americano,pt
liga de futebol australiano,pt
liga de golfe,pt
ligamento,pt
linguagem de programação,pt
localização,pt
logiciário,pt
lugar,pt
lugar natural,pt
língua,pt
maior ilha,pt
mamífero,pt
mapa,pt
mar,pt
marcha,pt
mascote,pt
medalha de bronze,pt
medalha de ouro,pt
medalha de prata,pt
medalhista,pt
medidas,pt
membro do parlamento,pt
microrregiao,pt
ministerio do politico,pt
moeda,pt
montanha,pt
mortalidade infantil,pt
motor,pt
motor de automóvel,pt
municipío adjacente,pt
museu,pt
nacionalidade,pt
nadador,pt
nome,pt
numero de deputados distritais,pt
numero de deputados estaduais,pt
numero de deputados federais,pt
numero de membros em,pt
numero de ministerios,pt
numero de municipios,pt
número da sessão,pt
número de condados,pt
número de membros,pt
número de participantes,pt
número de países,pt
número do partido,pt
número do sapato,pt
número do sapato,pt
obra,pt
oceano,pt
organização,pt
orientação sexual,pt
origem,pt
origens estilísticas,pt
osso,pt
parque,pt
partido do lider,pt
partido do vicelider,pt
partido político,pt
patente,pt
patinador artístico,pt
patrono,pt
país,pt
país de localização,pt
peixe,pt
personagem de quadrinhos,pt
peso (g),pt
peso (kg),pt
peso (kg),pt
peso (kg),pt
peso (kg),pt
peso (kg),pt
peso (kg),pt
peso (kg),pt
peso (kg),pt
pessoa,pt
piercing,pt
político,pt
ponte,pt
população total,pt
porta-voz,pt
posição no ranking do coeficiente de Gini,pt
posição no ranking do total da populacao,pt
praia,pt
presidente,pt
produto interno bruto em,pt
proteína,pt
referencia do total da populacao,pt
religião,pt
renda per capita ($),pt
renda per capita em,pt
rio,pt
samambaia,pt
santo,pt
secretario,pt
senador,pt
shopping,pt
signo astrológico,pt
substância química,pt
tatuagem,pt
tem busto natural,pt
tenente,pt
time de basquete,pt
tipo de governo,pt
tipo sanguíneo,pt
treinador,pt
unidade militar,pt
universidade,pt
vale,pt
veia,pt
vicelider,pt
videojogo,pt
vulcão,pt
Índice de Desenvolvimento Humano (IDH),pt
Índice de desenvolvimento humano em,pt
álbum,pt
área (km2),pt
área (m2),pt
A Novela das 8,pt
